__label__贴片电容 , 	贴片 电容 贴片 电容 贴片 电容 1000 uf 6.3 v 1000 uf 6.3 v 8 * 10.5 400.0 0.278 lc
__label__压接端子 , 	19054 0035 端子 ring insulkrimp a 2 sulkrimp a 221 06x
__label__线性稳压芯片LDO , 	semiconductor lm7805ct ic reg 1a pos 5v to 220
__label__贴片电容 , 	贴片 yc2027075c 贴片 陶瓷 电容 0402 * 27pf * ± 5% * 50v * c0g 2.0 c6 c8 0.0 60000.0 0.019 0.038
__label__贴片高精密-低温漂电阻 , 	ar05ftc6650 ± 25ppm ℃ ± 1% 665 ω 1 10w 6650 贴型 贴型 665 0805
__label__功率电感 , 	pcd0705mt1r0 ± 20% 1uh smd 7.8 x7x5mm
__label__行程开关 , 	spvq111700 开关 0.1 amp 12 volts 5.9 n alps 阿尔卑斯
__label__绕线电阻 , 	绕线 电阻 200w 45 ω ± 5% 45 200w ± 5% 45 ω 450
__label__电压基准芯片 , 	u1 296 18865 1 nd tl431bcdbvr shunt reference 2.495 v 0.5% sot23 5
__label__贴片高精密-低温漂电阻 , 	tc0525d4701t5e ± 0.5% 1 4w 4.7 k ω 25ppm 贴型 4.7 k ± 25ppm ℃ 贴型 0805 uni royal
__label__水泥电阻 , 	97 水泥 电阻 1.5 k 5w 直插 1 4
__label__线对板线对线连接器 , 	1 480706 9 管脚 插座 连接器 plug house 9 pos black ul94v 2
__label__安装型大容量电容 , 	cap alum 330 uf 20% 4 50v snap
__label__金属膜电阻 , 	82r 1 4w 1% metal film 0.114 1 0.228 271 82 rc xicon 271 82 rc quantity needed 1
__label__轻触开关 , 	skhhaka010 触觉 开关 6.0 x6.0 x5.0 mm 100gf alps 阿尔卑斯
__label__功率电感 , 	mapm0630f 100m lf 3.0 a ± 20% 功率 电感 10uh smd 6.6 x6.6 x3mm microgate
__label__轻触开关 , 	ts fs66t c i 轻触 开关 ip67 6 * 6 * 8.0 贴片 260gf xkb
__label__功率电感 , 	sqh6045s 101m lf 100uh ± 20% smd 6.2 x6.2 x4.5 mm coilmaster 统宇 电研
__label__直插电解电容 , 	cap 100 uf 20% 10 v
__label__功率电感 , 	nrs8040t1r0njgj fixed ind 1uh 7.8 a 7.8 mohm smd taiyo
__label__功率电感 , 	yxnaq252010 6r8m 0.79 a ± 20% 6.8 uh smd 2.5 x2x1mm yu xin 宇鑫
__label__功率电感 , 	smnr5040 151mt ± 20% 150uh smd 5.0 x5.0 x4.0 mm sxn
__label__贴片电阻 , 	rc0402fr 0712k1l res smd 12.1 k 1 16w 0402 res 12.1 k 1% 0402 12.1 kohms 1 16w r0402
__label__无源晶体振荡器 , 	81 无源 晶振 24.000 mhz cpx 84 smd 2 1000 x2
__label__拨码开关 , 	219 6lpst dip 开关 sip 开关 spst 6 switch sections cts 西迪斯
__label__PTC热敏电阻 , 	ptc ptft0805l2200jv ptft0805l2200jv nd thermistor ptc 220 ohm 5% 0805
__label__排针排母 , 	1 j3 j4 j5 j6 j7 j8 connector fci 68602 224hlf
__label__贴片高精密-低温漂电阻 , 	tc0525f4993t5e 499k ω 499k ± 1% 1 4w 贴型 ± 25ppm ℃ 贴型 25ppm 4993 0805 uni royal
__label__无源晶体振荡器 , 	贴片 晶体 谐振器 无源 m12000e058 m12000e058 y2 1 10
__label__贴片电阻 , 	8.45 k res smd 8.45 k ohm 1% 1 10w 0402 r0402 erj 2rkf8451x 300 9920 7000 1000
__label__拨码开关 , 	da 02bp 2pin 2.54 mm 直插 侧拨 拨码 开关 through hole hro
__label__直插电解电容 , 	32phk4201 12 c9111 067g 5154714kt 996590000791 ec 470 uf 20% 25v 10 * 12 5000 hr 1.45 a ev 452378
__label__功率电感 , 	27 1 l5 inductor power 4.7 uh 0.5 a 20% 4u7 taiyo yuden mbkk1608t4r7m 0.2
__label__贴片电阻 , 	1 430 2001010115 电阻 smd rt0603dre07100r 0603 100r 0.5% 1 10w 件 r137 r152 r157 r186 4 20 0.3 b 80
__label__金属膜电阻 , 	薄膜 电阻器 mrs25000c4701fct01 resistor axial metal film 4k7 0 6w 1% . 0603
__label__贴片高精密-低温漂电阻 , 	tc0550d5602t5e ± 50ppm ℃ 1 4w 56k 贴型 50ppm 56k ω ± 0.5% 贴型 0805 uni royal
__label__FFCFPC连接器 , 	fpc fpc 连接 座 上 翻下 接式 贴片 卧式 90 ° 6p 0.3 mm fpc 6p 0.5 mm fpc 6p 0.5 mm 1 fpc 6p c 50
__label__排针排母 , 	mtp125 1212s1 2 * 12p 2.54 排针 through hole p 2.54 mm mintron
__label__功率电感 , 	mpih252010 1r0m lf ± 20% 55m ω 1uh 2a smd 2.5 x2.0 x1.0 mm microgate
__label__排针排母 , 	54101 t06 集管 线 壳 bergstrip amphenol
__label__功率电感 , 	cdrh5d28rh125np 6r8pc 6.8 uh ± 25% 1.8 a 6.5 * 6.2 * 3.0 sumida
__label__轻触开关 , 	prg rst switch tact smt spst 160gf pts525sm10smtr lfs ckn9104ct nd 0.56 0.36
__label__开关二极管 , 	1n4148 1n4148 diode . . product detail en 1n4148 t 1n4148dict nd 160623
__label__贴片电阻 , 	r14 贴片 电阻 0805 40.2 k ω 1 8w 1% r0805 l 1 5
__label__功率电感 , 	cd75yp0705 330m ± 20% 33uh smd 7.8 x7.0 x5.0 mm yjycoin 益嘉源
__label__排针排母 , 	15.0 2d2436a0 j04 d000186 插件 双排 排针 ph127 2 * 8pin 弯针 90 ph127 2 * 8pr jb stx 排针 810.0
__label__贴片电感 , 	120 ohm molded inductor 603 6
__label__功率电感 , 	abg06a45m330 ± 20% 1.49 a 33uh smd 6x6mm coilank 驰兴
__label__FFCFPC连接器 , 	贴片 fpc 插座 10p p 0.5 mm h 2.0 mm 插 掀 掀 f2d10u a1g1 e 10pin 0.5 fpc 10p 0.5 1 20 2000 30000
__label__贴片电阻 , 	贴片 电阻 0603 1 16w 27k ± 5% 0603 1 500 500 r59
__label__贴片高精密-低温漂电阻 , 	ar06btcv4703 ± 25ppm ℃ 1 4w 贴型 470k 470k ω 4703 ± 0.1% 贴型 1206
__label__拨动开关 , 	sssf141000 滑动 开关 0.1 amps 30 volts through hole alps 阿尔卑斯
__label__功率电感 , 	slo1350h220mtt 22uh ± 20% smd 14.4 x12.8 x5mm sunltech
__label__PTC热敏电阻 , 	tfpt0603l2200fv 541 1168 1 nd ptc thermistor 220 ohms 0603 1608 metric
__label__贴片电阻 , 	31 0402 电阻 10k 1% 0402 1
__label__通用二极管 , 	1n4007 5819smd sma 二极管
__label__贴片高精密-低温漂电阻 , 	ptfr0805b1m00p9 ± 25ppm ℃ 1.00 m ω 1m00 ± 0.1% 1m 130mw ± 25ppm 贴型 贴型 0805 resistortoday 开步
__label__弹簧式接线端子 , 	phoenix 1789265 固定 接线 端子 ffkdsa1 h 2.54 6
__label__薄膜电容 , 	af105k2g22bl270d9r 105 ℃ 400v 22.5 ± 10% 40 ℃ 1 uf 1 uf 105 through hole p 22.5 mm trumeter
__label__功率电感 , 	mhci06030 6r8m r8 6.8 uh ± 20% smd 6.6 x7.3 mm chilisin
__label__压接端子 , 	dnf18 250fim 2k 端子 disco male nylon fully insul
__label__贴片电容 , 	0805 10nf 103 10% 50v ac0805krx7r9bb103 c46 c49 2 20
__label__功率电感 , 	swpa5040s330mt 片式 电感 33 μ h ± 20% dcr 0.188 ω 5.0 5.0 mm sunlord
__label__功率电感 , 	fxc1040 150m 15uh ± 20% smd 11.8 x10.8 mm cjiang
__label__安规电容 , 	mp2334kgd3xlc 330nf 334 ± 10% 275vac x2 安规 电容 330nf 15 through hole p 15mm srd
__label__拨动开关 , 	mmp1010d through hole knitter switch 能德 开关
__label__电源连接器 , 	连接器 笔记本 电池 刀片式 连接器 母头 2.0 mm pitch 8pin 1.0 5.0
__label__压敏电阻 , 	ftr20d781k through hole p 10mm ftr 乔光
__label__贴片电解电容 , 	cap 330 µ 100v radial smd
__label__轻触开关 , 	k2 1808gn a4sw 04 4.2 mm * 3.25 mm 硅胶 按键 smd hro
__label__贴片高精密-低温漂电阻 , 	arg05ftc4701 4.7 k 4.7 k ω 4701 ± 1% 25ppm 贴型 1 8w 贴型 0805
__label__功率电感 , 	yprh8d43 150m 15uh ± 20% 2.6 a smd 8x8x4.5 mm yjycoin 益嘉源
__label__功率电感 , 	smnr6020 6r8mt 6.8 uh ± 20% 6.0 * 6.0 * 2.0 sxn
__label__多功能开关 , 	rkjxt1f42001 多向 开关 4 drectnl swtch cntr push w an encoder alps 阿尔卑斯
__label__轻触开关 , 	按键 轻触 贴片 6 * 6 * 9 轻触 开关 6 * 6 * 9mm smt 10000
__label__采样电阻 , 	cs121wf240mt4e ± 1% ± 300ppm ° c 0.024 1w 贴型 贴型 0.024 ω 0r024 2512 uni royal
__label__轻触开关 , 	dts 32k v b 125gf 克力 俗称 3 * 6 * 5.0 直插 轻触 开关 3.5 * 6 * * 3.5 mm 插件 through hole diptronics
__label__拨码开关 , 	ham 03hwa r 高拨键 开关 through hole tonver
__label__安装型大容量电容 , 	cap alum 22000 uf 20% 35v screw
__label__贴片高精密-低温漂电阻 , 	ar05btdw6201 6.2 k ± 50ppm ℃ 贴型 贴型 1 8w ± 0.1% 6.2 k ω 6201 0805
__label__贴片高精密-低温漂电阻 , 	tr0402d43k2q1050 63mw ± 50ppm ℃ 贴型 贴型 43.2 k ω 43k2 薄膜 电阻 50ppm ± 0.5% 43.2 k 0402 ever ohms 天二
__label__功率电感 , 	slw5020s1r5mst 1.5 uh ± 20% 3.2 a smd 5x5x2mm sunltech
__label__贴片电阻 , 	159 301013300 1 7000 res 2.2 k 1w 2512 erj 1tyj222u
__label__排针排母 , 	mtp220 1105r1 1 * 5p ph2.0 r a l 10.5 through hole p 2mm mintron
__label__高频电感 , 	高频 电感 高频 贴片 电感 高频 贴片 电感 1.5 nh ± 0.2 nh 420 ma 0.12 ω 13 41 24 10 ghz 0201 0.35 mm sdcl0603q1n5ct02b01 sunlord 4 4000 c3406 c3410 l2 l3316
__label__安规电容 , 	c10 fb de2e3kh102m disc wkp102mcpejokr 1nf 2 50v ac kh x1 y2 ceramic p7.5 mm
__label__贴片高精密-低温漂电阻 , 	era6aeb680v ± 0.1% 68 ω 680 贴型 1 8w 68 ± 25ppm ℃ 贴型 0805
__label__功率电感 , 	jshc0618 4r7m 4.7 uh ± 20% 3a smd 7.8 x7.0 x1.8 mm jinlai 金籁
__label__功率电感 , 	bpsc00070740101ms0 ± 20% 100uh smd 7.0 x7.0 x4mm chilisin
__label__功率电感 , 	lqh32cn100k53l fixed ind 10uh 450ma 300 mohm
__label__贴片高精密-低温漂电阻 , 	ar06ftd4303 ± 1% 430k 430k ω 4303 贴型 贴型 1 8w 1206
__label__钽电容 , 	电容 钽 贴片 3528 16v 10 uf tajb106m016rnj 2000 0.434 2000.0 2000.0 case b 3528 lc
__label__功率电感 , 	pcd0302mt3r9 ± 20% 3.9 uh smd 3.5 x3x2.1 mm
__label__直插电解电容 , 	11.02 . 03.0010 插件 电解电容 300 150 uf 20% 100v 12.5 h20
__label__功率电感 , 	cmkd 0630a 2r2m ± 20% 2.2 uh smd 7x6.6 x2.8 mm magsonder 墨尚
__label__碳膜电阻 , 	14 4 r8 r15 r22 r29 150 ax . 775x.200 . 037 res 150 ohm 1 4w 5% carbon film 150qbk nd cfr 25jb 150r
__label__发光二极管 , 	led yellow smd 0805 ltst c170kskt cxg 发光 二极管 11
__label__贴片电阻 , 	片状 电阻 res film 1k 5% 1 16w 0402 0.4 mm rc0402jr 071kl 6 r4 r11 r13 r21 r22 r47 1k
__label__贴片电阻 , 	贴片 电阻 0 ω 5% 0402 rs0402c 1 16w 0r0jt r1 r2 r41 r42 r43 r44 r162 r163 ry4 9 180
__label__排针排母 , 	j70 j90 . 1 male vert . w ü 61300211121
__label__采样电阻 , 	ste0805mw75r033f ± 1% 贴型 0.033 33m ω r033 ± 50ppm ° c 贴型 3 4w 0805 walter 华德
__label__轻触开关 , 	1ts002c 2600 4300 ct pa66 贴片 带柱 轻触 开关 塑胶 按钮 smd 6x3.5 x4.3 mm hyp 鸿源 精密
__label__发光二极管 , 	mhl5013ubdwt led 直插 lamp 5mm 白色 雾状 超高亮 光 throughhole 5mm meihua
__label__拨码开关 , 	ndp 02v 2 位 插件 拨码 直插 拨码 开关 2pin 位 间距 2.54 mm 侧拨 短杆 dip 4 diptronics
__label__拨动开关 , 	k3 1260d f1 9 * 3.6 mm hro
__label__磁珠 , 	1 20 2003020003 磁珠 bead blm18gg471sn1 0603 470 ω 0.2 a 25% 件 b111 b122 2 20 0.3 b 40 dlk
__label__安规电容 , 	7007 dj sh 112lmh x1 電容 進階 dip 4p 8a ac2 50v deg 8
__label__压敏电阻 , 	621kd10 620v 2.5 ka 505v 558v 620 558 682 1025v 682v through hole brightking
__label__轻触开关 , 	k2 1102dp z4sw 04 6 * 6 * 19 插件 按键 轻触 开关 through hole hro
__label__功率电感 , 	pife32251b 1r0ms 20% ± 1uh 3225 cyntec 乾坤
__label__可调电阻电位器 , 	rk09k1110b1v 电位计 5 kohms 30% alps 阿尔卑斯
__label__功率电感 , 	fxc0630 2r2m 2.2 uh 8a ± 20% smd 7.8 x7x3mm cjiang
__label__PTC热敏电阻 , 	ptc tfpt0805l1001fv 541 1172 1 nd ptc thermistor 1 kohms 0805 2125 metric
__label__贴片高精密-低温漂电阻 , 	tc0325f5101t5e 贴型 ± 25ppm ℃ 5.1 k 贴型 25ppm 5.1 k ω 1 6w ± 1% 0603 uni royal
__label__轻触开关 , 	ts 1807r 2526 l4.00 mm w3.00 mm h2.5 mm smd sofng 硕方
__label__贴片电阻 , 	45.0 10906026 贴片 电阻 33k 0805 30000.0
__label__贴片电解电容 , 	18789 mp 16v l270md10 電解 電容 cap polymer 270 uf 16v 20% smd 8x9.7 mm matsuki 50
__label__直插瓷片电容 , 	r10e1b472mq0t0s0n0 4.7 nf 472 y5u 2kv ± 20% through hole p 5mm ste
__label__氧化铌电容 , 	noje337m006rwj 478 1828 1 nd 330 niobium oxide capacitor 6.3 v 2917 7343 metric 300 mohm
__label__五向开关 , 	skrhabe010 多向 开关 4 directn cntr push w boss 200k cycles alps 阿尔卑斯
__label__贴片高精密-低温漂电阻 , 	arg03ftc34r8 ± 25ppm ℃ ± 1% 贴型 1 10w 34.8 34.8 ω 34r8 贴型 0603
__label__压敏电阻 , 	511kd14j through hole brightking
__label__发光二极管 , 	pwr led led yellow 591nm 0603 smd 2ma 1.8 v ly l29k h1k2 26 475 1196 1 nd 0.13 0.11
__label__开关二极管 , 	bas21 开关 二极管 d12 d24 d36 d37 d41 d45 sot 23 sot 23 3 6
__label__NTC热敏电阻 , 	ntc ntcs0603e3222fmt bc2478ct nd ntc thermistor 2.2 k 0603 1608 metric
__label__压敏电阻 , 	sdv1005s5r5c020yptf 60 80 5.5 v 60v 2pf 80v 0402 sunlord
__label__行程开关 , 	sppb512300 开关 vertical 35.7 gf pcb alps 阿尔卑斯
__label__D-Sub连接器附件 , 	d sub 连接器 3r 2.54 femal l 支架 挡板 鱼叉 车 pin hdr f03015001 db15 1x3 2r29 h12r9 rf hdr f03015001 朗昌 30
__label__薄膜电容 , 	直插 dip 涤纶 电容 100nf 100v 脚距 8mm 11 2200
__label__拨动开关 , 	v70113s205qe 电源 滑动 开关 c k
__label__共模扼流圈滤波器 , 	共模 扼流圈 acm7060 701 2pl tl01 . 共模 滤波器 电源线 smd 1 l7 44
__label__功率电感 , 	smdrs7045 101n 100uh ± 30% 100uh 0.5 a 250m ω 绕组 铁氧体 磁 功率 电感 smd 7x7x4.5 mm sxn
__label__功率电感 , 	snr4018k 220m ± 20% 22uh smd 4.0 x4.0 mm 3l
__label__薄膜电容 , 	lx2a684jd5b0070110065eox 仅 p5 7x11x6.5 mm ± 5% 40 ℃ 100v 680nf 684 125 ℃ 680nf through hole p 5mm ste
__label__DC-DC芯片 , 	sc4216strt ic reg linear pos adj 3a 8soic semtech 1 5000
__label__功率电感 , 	348.0 11802039 贴片 电感 47uh 2a8 20% xln 30000.0
__label__贴片电阻 , 	贴片 电阻 0603 2.7 k 1% 2000.0
__label__功率电感 , 	abg04a30m4r7 2.06 a ± 20% 4.7 uh smd 4x4mm coilank 驰兴
__label__贴片电阻 , 	390r 1w res smd 390 ohm 1% 1w 2512 r2512 erj 1tnf3900u 600 9920 7000 1000
__label__功率电感 , 	aspi 7318 r10n t fixed ind 100nh 30a 1.7 mohm smd abracon
__label__直插电解电容 , 	ee uf m1c102 fm series aluminium electrolytic capacitors 1200 uf 35v d16 h20 rs 5261783 5.64 0.0 non trovato ! sostituito con 1000 uf 16v
__label__ARM微控制器-MCU , 	cpu tm4c123gh6pm 64 pin lqfp tm4c123gh6pmi 595 tm4c123gh6pmi 11.55 tm4c123gh6pm we will solder it down to your pcb
__label__电源连接器 , 	jack dc power male 2.1 mm jameco 101179 0.55 powerjack cabinet 9 fd
__label__轻触开关 , 	uk b0228 g11 160 轻触 6 * 6 * 11 贴片 160gf 6 * 6 * 11 usakro 美韩
__label__金属膜电阻 , 	100 ω resistor metal film 1 4w 1% axial resistor . . product detail en rnmf14ftc100r s100cact nd 2617435
__label__钽电容 , 	7 3.3 mfd 35v 10% 5mm tap335k035ccs 3000 1000 pack
__label__采样电阻 , 	电阻 tlr2bn 10l0 k0a 1 2010 tlr2attd10l0 koa 2010 a 2.0678 7 12d
__label__安规电容 , 	yx4135c crc 印字 x2 安规 电容 275vac 黄色 x2224k2eae70aah zcrc 220nf ± 10% 18 * 14.5 * 8.5 p 15 crc 创容
__label__功率电感 , 	tmpc1205hp 4r7mg d ± 20% 4.7 uh smd 13.5 x12.5 x4.8 mm tai tech
__label__轻触开关 , 	ts 1002u 04326 贴片 u 支架 轻触 开关 260gf smd 7.1 x7.5 x4.3 mm xunpu 普
__label__贴片高精密-低温漂电阻 , 	tc0625b1003t5e 1 3w 25ppm 100k ω 1003 贴型 贴型 100k ± 0.1% ± 25ppm ℃ 1206 uni royal
__label__轻触开关 , 	uk b0228 g8.5 250 250gf 轻触 6 * 6 * 8.5 贴片 6 * 6 * 8.5 usakro 美韩
__label__贴片高精密-低温漂电阻 , 	ar03ftc9091 25ppm ± 1% 9.09 k 贴型 贴型 1 16w 9.09 k ω 9091 0603
__label__金属膜电阻 , 	resistors metal film t183987 mf006ff150ja10 15r 0.6 w 1% mf60s metal film resistor royal ohm 5000
__label__金属膜电阻 , 	003 4702205010 p0901008 1037 conventional metal film resistor 0.25 w 47k 1% mf25 47k multico 12.0 2.0 214.2 allchips 1.0
__label__贴片电容 , 	53 10 uf 10v 0603 500 1250 cl10a106kp8nnnc 1260 0.0635 moq 20 lc
__label__氧化铌电容 , 	nosc686m006s0200 478 7518 1 nd 68 niobium oxide capacitor 6.3 v 2312 6032 metric 200 mohm
__label__功率电感 , 	ynr2510 2r2m ± 20% 2.2 uh 1.2 a 174m ω smd 2.5 x2.0 x1.0 mm yjycoin 益嘉源
__label__电源连接器 , 	slppb50bso2eh surlok plus 8.0 mm right angle pl
__label__贴片电解电容 , 	铝质 电解 电容器 smd vzt101m1vtr 0607 vzt101m1vtr 0607 c43 c57 cap6.3 * 7.7 3d 2 20
__label__钽电容 , 	4 p20302000027 b case tajb106k016rnj 10 uf 16v 10% 贴片 钽电容 1
__label__功率电感 , 	smnr4018 100mt 贴片 功率 电感 10uh ± 20% 4018 sxn
__label__门极反相器 , 	u18 or gate sn74lvc1g32dbvr or gate ic positive or gate 2in sot 23 5 sn74lvc1g32dbvr digi key 296 9847 1 nd 0.4
__label__钽电容 , 	8 贴片 钽电容 2.2 uf 16v 10% 105 ° 1206 10000 c3
__label__轻触开关 , 	skhhaqa010 触觉 开关 6.0 x6.0 x4.3 mm 260gf alps 阿尔卑斯
__label__RS232芯片 , 	max3223idbr instrument ic drvr rcvr multch rs232 20ssop 20 ssop 2
__label__拨动开关 , 	ss 1300b 拨动 开关 smd risheng 昇
__label__功率电感 , 	电感 10uh 100 ± 20% 0.38 ω 1.4 a smd 40 * 40mm 1
__label__功率电感 , 	smnr4012 220mt 贴片 功率 电感 22uh ± 20% 4012 sxn
__label__压接端子 , 	panduit ednf18250fimb q stronghold male disconnect nylo
__label__钽电容 , 	钽电容 100 uf 16v ± 10% tc7343 tajd107k016rnj tc7343 12
__label__贴片电阻 , 	66.0 10906054 贴片 电阻 330 331 1206 30000.0
__label__功率电感 , 	hpc3012tf 330m ± 20% 33uh smd 3x3x1.2 mm tai tech
__label__贴片高精密-低温漂电阻 , 	tc0525b1502t5e ± 25ppm ℃ 15k ω ± 0.1% 15k 贴型 25ppm 贴型 1 4w 0805 uni royal
__label__功率电感 , 	slw4020s150mst 15uh ± 20% 0.77 a smd 4x4x2mm sunltech
__label__行程开关 , 	spve110401 开关 0.1 amp 30 volts 0.3 n alps 阿尔卑斯
__label__电源连接器 , 	插件 电源接口 bat 电池 结构件 负极 接头 结构件 bt2 1 120
__label__贴片电阻 , 	1 r4 resistor 22 ohm 1% 1 8w stackpole rmcf0603ft22r0
__label__IC与器件插座 , 	10 133572 2 . ic.1100430320041 插件 ic 座 110 43 320 41 001000 20pin 40 n
__label__直插电解电容 , 	capacitors al electrolytic e521364 mal212855159e3 15 uf 16v 5mm solid al capacitor 2222 128 55159 1295
__label__安规电容 , 	y1 電容 y1681k400vy5p75 y1 電容 680p k% 400v y5p p 7.5 mm 1000
__label__功率电感 , 	vls201610cx 150m 1 fixed ind 15uh 540ma 1.258 ohm
__label__采样电阻 , 	ww12wr680ftl 0.68 贴型 0.68 ω r680 1 3w ± 100ppm ° c 贴型 ± 1% 1206
__label__采样电阻 , 	csm2512ft20l0 res 0.02 ohm 1% 3w 2512 stackpole
__label__压敏电阻 , 	erzv14d621cs 1025v 682v 620v 5ka 558v 505v through hole
__label__电源连接器 , 	amphenol slppb70bsr2eh surlok plus 8.0 mm right angle pl
__label__贴片高精密-低温漂电阻 , 	rncf0402dte102k res 102k ohm 0.5% 1 16w 0402 stackpole
__label__贴片高精密-低温漂电阻 , 	tc0350b6201t5h 50ppm ± 0.1% 6.2 k ω 0603 uni royal
__label__贴片电解电容 , 	247.0 11003156 贴片 电解电容 47u 25v 20% 6x6 0.0
__label__功率电感 , 	sph252010hr68mty02 680nh ± 20% smd 2.5 x2.0 x1.0 mm sunlord
__label__贴片高精密-低温漂电阻 , 	r16 51k 0805 resistor 0.1% tk25 n
__label__贴片高精密-低温漂电阻 , 	arg03ftc1001 ± 25ppm ℃ 1 10w ± 1% 贴型 1k ω 1001 1k 贴型 0603
__label__线性稳压芯片LDO , 	lm1117mpx 5.0 nopb 800ma low dropout positive regulator5v zz311 u7 u13 u19 u25 u31 u65 4.0 2100.0
__label__贴片高精密-低温漂电阻 , 	arg03ftc1821 ± 1% 1.82 k 贴型 1.82 k ω 1821 1 10w ± 25ppm ℃ 贴型 0603
__label__贴片电阻 , 	贴片 电阻 电阻 0402 smd 0402 1 16w 33k ± 1% lc 0402 r r43
__label__排针排母 , 	直插 单排针 2.54 5p dip 1 1000.0
__label__云母电容 , 	云母 ptfe 电容器 cornelldubilierelectronics cde 零件 有源 电容 1000pf ± 5% 500v 云母 55 ° c 125 ° c 通孔 引线 间距 0.343 8.70 mm 0.650 x0.220 16.50 mmx5.60 mm 0.520 13.20 mm
__label__拨码开关 , 	ds 10blp 拨码 开关 through hole xkb
__label__贴片高精密-低温漂电阻 , 	ar05btcw4703 ± 0.1% 470k 贴型 470k ω 4703 1 8w 贴型 0805
__label__贴片电阻 , 	贴片 电阻 电阻 0402 smd 0402 1 16w 100k ± 1% lc 0402 r r23 r24
__label__发光二极管 , 	521110r1h 364 g 两只 脚橙白 双色 led through hole para light
__label__可调电阻电位器 , 	rs3011114a02 滑动 电位计 20k ohm b taper 30mm travel alps 阿尔卑斯
__label__绕线电阻 , 	rws01j5r10a520nh 1w ± 5% 5.1 5.1 ω 5r1
__label__排针排母 , 	210 2r 1 * 40p 弯针 反弯 1 * 40p 2.0 mm 反弯 排针 through hole p 2.0 mm ckmtw
__label__采样电阻 , 	rl12ftnr390 ± 1% 贴型 0.39 ± 200ppm ° c 贴型 0.39 ω r390 1 2w 1206 ta i
__label__功率电感 , 	tmpa0603s 3r3mn d 3.3 uh ± 20% smd 7.1 x6.6 x2.8 mm tai tech
__label__无源晶体振荡器 , 	91 1 x3 xtal 48.000 mhz dsx211sh 48 mhz kds dsx211sh 48mhz
__label__线对板线对线连接器 , 	贴片 插座 2p p 2.0 mm 20006 02200 1 1000.0
__label__安规电容 , 	cs45 b2ga101k nka 瓷片 电容器 cs45 b2ga101k nka
__label__可调电阻电位器 , 	3590s 2 503l 电位计 7 8 ww 50kohms 0.25% 10turn
__label__发光二极管 , 	50 217st kk5c h406534z15 2t 白光 smd 4.0 x1.4 mm
__label__轻触开关 , 	tc 1109de c j 4.5 4.5 8.0 边 三脚 轻触 开关 260gf throughhole xkb
__label__贴片高精密-低温漂电阻 , 	ar03ftc1101 1.1 k 25ppm ± 1% 贴型 贴型 1.1 k ω 1101 1 16w 0603
__label__贴片高精密-低温漂电阻 , 	tc0325f4700t5e 1 6w 470 470 ω 25ppm 贴型 ± 25ppm ℃ 贴型 ± 1% 0603 uni royal
__label__绕线电阻 , 	绕线 电阻 ewwr0006j1r00t9 1 ω 1r00 ± 5% 6w
__label__贴片电阻 , 	jmpr solder smd nc solder jumper normally closed smd res 0 5% 0402 0ohms 1 16w r0402 item 41 resistor placed between pins . remove opening solderpaste .
__label__直插电解电容 , 	直插 电解电容 50v 470 uf cappr5 10x20 插件 电解电容 chang
__label__压接端子 , 	panduit dnf18 250fib 3k 端子 disco female fully insul
__label__发光二极管 , 	tj l3fytghtcgsflc0a a5 3mm 圆头 透明 橙光 短脚 through hole togialed
__label__TVS二极管(瞬态电压抑制二极管) , 	56 1 57a.06 60540001 tvs 二极管 tpd2eusb30adrtr tvs 二极管 5.5 v 5a 40 85 ℃ sot 3 2 sot9x3 tpd2eusb30adrtr d13 d14 24
__label__无源晶体振荡器 , 	无源 晶振 y1 xtal3215 32.768 khz 32.768 khz smd 3215 2p 0.64 lc
__label__采样电阻 , 	1206w4j039lt5e 阻值 4 位 最后 一位 j k l m 分别 代表 10 负 1 2 3 4 次方 ± 5% 0.039 ω 1206 uni royal
__label__功率电感 , 	smms1050 150m 15uh 4.5 a 48m ω 成形 电流 磁 功率 电感 ± 20% 15uh smd 11.5 x10.0 x5.0 mm sxn
__label__直插电解电容 , 	capacitors al electrolytic e602000 53034 1000 uf 25v 5mm 12.5 x20 al el capacitor re 53034 nover 55
__label__贴片电阻 , 	100r 0402 yage 0402 100r j 1 16w rc0402jr 07100rl r2 r3 r4 r5 r6 r7 6 60
__label__FFCFPC连接器 , 	afc24 s12fia fpc 连接器 0.5 mm 后压 卧式 12p js
__label__线对板线对线连接器 , 	2 1445098 2 管脚 插座 连接器 hdr assy 2 pos r a single row 30 au
__label__功率电感 , 	lqw2bhnr12j03l 固定 电感器 0805 0.12 uh 5% chip inductor
__label__可调电阻电位器 , 	p1l p1r 3296w trimpot 50k ω 652 3296w 1 503lf 3 8 multi turn cermet 0.100 lead spacing inline
__label__发光二极管 , 	45 21uyc s530 a3 tr8 黄光 smd 3x2mm
__label__功率电感 , 	tmax 1040 470 m 47uh ± 20% smd 11.5 x10x4mm tdg 天通
__label__贴片高精密-低温漂电阻 , 	tc0325b1602t5e ± 25ppm ℃ ± 0.1% 16k ω 贴型 16k 1602 25ppm 贴型 1 6w 0603 uni royal
__label__数字三极管 , 	q19 mmbt2907al pnp general purpose transistor sot23 mmbt2907al on semiconductor mmbt2907al
__label__功率电感 , 	mpia201610 1r0m lf 1uh ± 20% 2.1 a 75m ω smd 2.0 x1.6 x1.0 mm microgate
__label__直插电解电容 , 	cap alum 56 uf 20% 4 50v t h
